reach_id;h_hat;z0_hat;alpha_hat;alpha_tilde;beta_hat;delta_hat;offset_hat;factor_hat;dAbar;std_S;std_W;rel_std_S;rel_std_W;Wbar;Sbar;Qbar;R2;R2_2;valid;r_hat_alpha;r_hat_beta;r_hat_z0;r_hat_delta;r_hat_offset;r_hat_factor;ess_alpha;ess_beta;ess_z0;ess_delta;ess_offset;ess_factor;r2_param_hat;nse_param_hat;rmse_param_hat;nrmse_param_hat;mae_param_hat;bias_param_hat;r2_param_tilde;nse_param_tilde;rmse_param_tilde;nrmse_param_tilde;mae_param_tilde;bias_param_tilde;rel_std_Q
23214200171;0.9037827627152816;57.95592584398176;2659.350957710172;2395.134554217037;1.6492225249640615;0.5303978682351613;-0.2856923307240036;0.008990722516242;41.026370086073264;5.068759587318967e-05;0.0;0.0332374545438259;0.0;70.135;0.0015250143721551;81.77870342771982;0.9999758912312704;0.9999760748005756;732;2.75;1.08;1.06;2.87;1.0;1.0;5.0;52.0;54.0;5.0;3295.0;2853.0;0.9999331712784878;0.9998666770852731;0.8479213120924745;0.010368485639319415;0.46310002733209754;0.428325252521347;0.9999331712784889;0.9755847487107089;11.47449947971311;0.14031158478631123;8.510787735308812;8.510787735308812;0.8979722805019854
23214200191;1.0500470899912024;63.35560339398136;2196.2390051667344;2361.136362949777;1.641431235398968;0.4829217517120822;-0.2967833252081641;0.009083880496006;56.72580526879312;3.995937414374253e-05;1.4210854715202004e-14;0.0572687043790934;1.6521917786297132e-16;86.01213793103446;0.0006977523688894;81.79106420765027;0.9999706059648046;0.999970483585267;732;1.93;1.07;1.06;1.96;1.0;1.0;6.0;54.0;62.0;6.0;3348.0;2853.0;0.9999076797892081;0.9998908992990378;0.7668713656791403;0.009375979798138041;0.43106689777761237;-0.2040886196653517;0.999907679789209;0.9862696824753369;8.602982546551925;0.10518242585413445;6.360424073335449;-6.360424073335449;0.897641437337193
23214200211;0.9095608508419784;66.70006105364577;2915.7317596450102;2823.742302322563;1.6611616454038347;0.497962693889159;-0.2912918419260957;0.0091154060657513;55.369490414650855;2.903100118178817e-05;1.4210854715202004e-14;0.0347709028745927;1.4944102025168946e-16;95.0934;0.000834922270684;81.81330204918034;0.9999748204103244;0.9999750345745136;732;2.09;1.09;1.09;2.15;1.0;1.0;5.0;43.0;49.0;5.0;3321.0;2915.0;0.9998911299091079;0.9997451378664356;1.1724090604433464;0.014330298754334319;0.7469722207569555;-0.676452228270394;0.9998911299091083;0.9986285183224121;2.719703209648716;0.03324279966128031;1.926046340242844;1.926046340242844;0.8976408066120052
23214200231;1.4106958653276065;69.32015750694003;3214.043677922191;3043.481478021776;1.6197212761998656;0.545810001557117;-0.2896032326968596;0.0090556475124594;59.661848150650826;6.549227634167532e-05;1.4210854715202004e-14;0.191456281458375;2.020124091193396e-16;70.34644444444443;0.0003420743150488;81.82925713418336;0.9999662538427556;0.999966345627408;732;1.78;1.07;1.07;1.68;1.0;1.0;6.0;46.0;42.0;7.0;3149.0;2799.0;0.9997947348528133;0.9958014213088957;4.760369024597296;0.058174413300505184;3.226583594890107;-3.210998641295194;0.9997947348528138;0.9993837908038306;1.8237006783074754;0.022286658124208273;1.3066848843533068;1.3018999247057867;0.8978026095787993
23214200251;1.528391355364511;70.20408629299672;2160.8759535518075;2232.3468038104747;1.5769777250036623;0.4972978780835266;-0.2832464283755874;0.0089896869794988;68.17824921086617;3.0302328356801454e-05;0.0;0.1071223664190983;0.0;63.56925;0.0002828758304148;81.84013985655737;0.999936148476728;0.9999358119330022;732;2.01;1.06;1.09;1.99;1.0;1.0;5.0;67.0;38.0;5.0;3041.0;2606.0;0.9995517235125861;0.9992384604923799;2.0288165563293616;0.02478999375960627;1.1851343323557983;1.1255483888643392;0.9995517235125853;0.998539755432861;2.809372716698163;0.034327564953117125;1.6628441584385374;-1.54408217044425;0.8983181987652997
23214200271;0.9778557085920722;72.08500603398141;2262.752643444799;2288.0120297174817;1.6739904030199049;0.5055976822374033;-0.2933996896643678;0.0091382806131212;47.11705899203599;0.0001830435530784;1.4210854715202004e-14;0.1450142751986224;1.952680391855533e-16;72.77614285714287;0.001262245063996;81.8428774395004;0.99996890794872;0.99996890794872;732;2.55;1.3;1.16;2.53;1.0;1.0;5.0;12.0;24.0;5.0;3184.0;2507.0;0.9997232367433468;0.999309333416991;1.9329363096323195;0.02361764847602258;1.0273209009280682;0.9880063665079639;0.9997232367433488;0.9997034993005662;1.2664737231303351;0.01547445254556859;0.5709436869490734;0.08541348859117275;0.8986745283826058
23214200291;1.2021022603614704;75.43688866931927;2393.3618157764145;2388.876457227107;1.6679746432501488;0.5009440341752649;-0.2847203440646374;0.0088828472713249;59.60985562446447;5.461177539129474e-05;0.0;0.113166381892373;0.0;80.38439285714286;0.0004825794947057;81.83942915690868;0.999969129761868;0.9999690991669838;732;1.9;1.06;1.06;1.88;1.0;1.0;6.0;47.0;46.0;6.0;3116.0;2649.0;0.999847673181673;0.9993236926613869;1.9137749521249263;0.023384510031902762;1.20577962361497;-1.162960309289696;0.9998476731816741;0.9994454982172074;1.7328871830345667;0.021174233506836244;1.0638904938068525;-1.0074069471732443;0.8991998478023376
23214200311;1.163169295810388;77.40406191727058;1743.1331685212629;1737.4550952190195;1.762280614927398;0.4865999011491668;-0.2873814739941946;0.0090919284351581;55.93837173994001;0.0001150100225554;0.0;0.1364176881163758;0.0;74.91064285714286;0.0008430726553389;81.82658352849336;0.9999394527242188;0.9999396974832924;732;1.89;1.06;1.06;1.72;1.0;1.0;6.0;53.0;53.0;6.0;3279.0;2784.0;0.9997206796528753;0.9991737276917528;2.1177836179134153;0.025881364302298756;1.2569046259957912;1.2545756452546473;0.9997206796528768;0.9989266971801746;2.4136879410325083;0.029497601353379522;1.517030502480534;1.517030502480534;0.9003794347103196
23214200331;0.8164222970061483;82.10590468402414;3206.987357484513;3138.762017437927;1.636958005892018;0.496770560021895;-0.2893770805292276;0.0091674476306748;53.615237494299215;7.344207369356226e-06;1.4210854715202004e-14;0.0078795404085397;1.3984698827332658e-16;101.61716666666663;0.0009320603726324;81.81110923269581;0.9999852532658278;0.999985436835133;732;1.93;1.03;1.03;1.95;1.0;1.0;6.0;81.0;77.0;6.0;3187.0;2758.0;0.9999027409680118;0.9998951931135984;0.7547874836859755;0.00922597787470561;0.326866791539549;0.18041006263780834;0.999902740968012;0.9987206251458949;2.6371126710485946;0.032234163499089585;1.9170187823822353;1.9170187823822353;0.9011923556733885
23214200351;1.1657528130946813;85.77630968190205;2205.6735297650443;2294.704529077129;1.659029789436954;0.4737290281125102;-0.2865018066119971;0.0090700257121464;63.10721246199328;6.489376664223876e-05;1.4210854715202004e-14;0.1668029570782207;1.5759013649913856e-16;90.17604166666663;0.0003890444616746;81.79188308287796;0.999975126359166;0.9999750039796296;732;2.03;1.04;1.05;2.18;1.0;1.0;5.0;61.0;62.0;5.0;3254.0;2832.0;0.9998721231715385;0.9997499639188808;1.1667554940259581;0.014264930089012742;0.6440239638281501;0.6230560011799807;0.9998721231715398;0.9974938689928721;3.6938597143819214;0.04516169056334126;2.6532864359726087;-2.6532864359726087;0.902128297638357
